197,197,حقوق,حقوق,NULL,1,2017-06-21 11:56:36,2017-06-21 11:56:36,NULL,NULL,
72,198,Department Of English Language and Literature,English Language & Literature,NULL,1,2017-06-21 11:56:36,2017-06-21 11:56:36,NULL,NULL,
199,199,Department of Microbiology,Microbiology,NULL,1,2017-06-21 11:56:36,2017-06-21 11:56:36,NULL,NULL,
72,200,Department Of English Language and Literature,English Language and literature,NULL,1,2017-06-21 11:56:36,2017-06-21 11:56:36,NULL,NULL,
72,201,Department Of English Language and Literature,English Lit.,NULL,1,2017-06-21 11:56:36,2017-06-21 11:56:36,NULL,NULL,
34,202,Department of Computer Science,Computer Since,NULL,1,2017-06-21 11:56:36,2017-06-21 11:56:36,NULL,NULL,
203,203,Department of Earth and Environmental Sciences,Earth and science,NULL,1,2017-06-21 11:56:36,2017-06-21 11:56:36,NULL,NULL,
204,204,Department of Linguistics,Linguistics,NULL,1,2017-06-21 11:56:36,2017-06-21 11:56:36,NULL,NULL,
205,205,Department of Comparative Literature,comparative literature,NULL,1,2017-06-21 11:56:36,2017-06-21 11:56:36,NULL,NULL,
72,206,Department Of English Language and Literature,English Language,NULL,1,2017-06-21 11:56:36,2017-06-21 11:56:36,NULL,NULL,
207,207,Department of English and Linguistics,English Dep/Linguistics,NULL,1,2017-06-21 11:56:36,2017-06-21 11:56:36,NULL,NULL,
87,208,Department of Petroleum Engineering,Petroleum Eng,NULL,1,2017-06-21 11:56:36,2017-06-21 11:56:36,NULL,NULL,
209,209,Education Department,Education Department,NULL,1,2017-06-21 11:56:36,2017-06-21 11:56:36,NULL,NULL,yes
210,210,Department of Molecular Biology,Molecular Biology,NULL,1,2017-06-21 11:56:36,2017-06-21 11:56:36,NULL,NULL,
211,211,Faculty of Arts and Literature,Art And Literature,NULL,1,2017-06-21 11:56:36,2017-06-21 11:56:36,NULL,NULL,
212,212,English Education,English Education,NULL,1,2017-06-21 11:56:36,2017-06-21 11:56:36,NULL,NULL,yes
213,213,kuwait University,kuwait University,NULL,1,2017-06-21 11:56:36,2017-06-21 11:56:36,NULL,NULL,yes
207,214,Department of English and Linguistics,English lingustics,NULL,1,2017-06-21 11:56:36,2017-06-21 11:56:36,NULL,NULL,
72,215,Department of English Language and Literature,Department Of English Language and Literature,NULL,1,2017-06-21 11:56:36,2017-06-21 11:56:36,NULL,NULL,
41,216,Department of Management Studies,Master\'s Of Business Administration,NULL,1,2017-06-21 11:56:36,2017-06-21 11:56:36,NULL,NULL,
26,217,Department of English,English Department- Faculty Of Education,NULL,1,2017-06-21 11:56:36,2017-06-21 11:56:36,NULL,NULL,
72,218,Department Of English Language and Literature,English Language and Literature/ Translation,NULL,1,2017-06-21 11:56:36,2017-06-21 11:56:36,NULL,NULL,
219,219,Department of Mechanical and Manufacturing Engineering (M&M),M&M,NULL,1,2017-06-21 11:56:36,2017-06-21 11:56:36,NULL,NULL,
220,220,هندسة صناعي ونظم معلومات,هندسة صناعي ونظم معلومات,NULL,1,2017-06-21 11:56:36,2017-06-21 11:56:36,NULL,NULL,
